纳米二氧化硅水凝胶体系的3D打印成型研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
绿色合成芳香氧偶氮类化合物催化剂的构建,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
高效光热转化碳基材料的制备及性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于吡咯并吡咯二酮类有机小分子受体光伏材料的合成与性能名,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
抑制剂影响下长形密闭容器内甲烷/空气爆炸火焰传播特性研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
有序Ag纳米阵列的合成及其在二氧化碳还原中的应用,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
OLA1对胰腺癌耐药性的影响及其机制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
热致形状记忆丙烯共聚物,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
一种前药型卟啉光敏剂的制备和光动力活性研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
果皮酵素发酵过程中抗氧化成分的变化规律研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
碳钢超疏水表面的制备与防腐性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
纳米二氧化硅水凝胶体系的3D打印成型研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
绿色合成芳香氧偶氮类化合物催化剂的构建,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
高效光热转化碳基材料的制备及性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
静电纺丝法制备一维自支撑电极材料及其性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于3D打印的固定管板式换热器模型制造工艺研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
层状硅酸盐水羟硅钠石的合成和表征,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
层状多孔Fe2O3-MoO3复合氧化物的制备及其催化降解苯系物性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
Co基MOF材料合成及其催化加氢性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
酵素制备与安全性评价,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
金属配合物催化乙烯与烯基卤代物共聚的计算化学研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
甲醇乙醇共进料制备高值化学品,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
Fe-Ru双金属催化酚类化合物加氢脱氧的理论研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
纳米材料的神经毒性,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
膜分离餐厨油水高效分离技术研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
黄芩素与阿卡波糖协同防治糖尿病的肠道菌群机制,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
除草剂阿特拉津的农田—河流污染过程模拟研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
新型甜味剂阿洛酮糖的高效生产,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
粘弹性流体中气泡上升行为和传质规律研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
幂律型流体中气泡羽流附壁效应研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
Cl引发有机污染物形成高度氧化多官能团有机化合物的分子机制研究,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
基于分子印迹电化学传感器的抗生素高通量分析方法研究名,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
CO2电化学还原阴极催化剂的研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
含NAD+活性中心的金属-有机框架的构筑,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于针尖状氮化碳表面增强拉曼散射用于环境污染物的检测,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于炔基单体的点击聚合研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
微通道吸收器强化吸收CO2的性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
锆基MOF的设计合成,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
解析多肽药物分子与蛋白质的相互作用,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
超临界二氧化碳-离子液体复杂体系热力学性质,创新训练项目,大连理工大学,理学,理学,2019/5/31,10000,3
自主式有缆水下环境监测机器人,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
臭氧尿素法同步脱硫脱硝工艺研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
葡萄糖脱氢氧化制备葡萄糖酸催化体系构筑,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
焦油催化裂解提质,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
惰性气体对氢气层流燃烧速度影响机制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
从“固废垃圾”到“储能器件”,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
高分子量聚乙醇酸的合成及性能研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,1
多语言虚拟实验室应用开发研究,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
微生物工程改造及高效生物菌剂产品开发,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,4
创新化学实验工社,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
人体仿生器官微流控芯片技术及产业化,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
多功能倒车安全提示装置的设计,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
多机器人协同策略的设计与实现,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于结构化强化学习的机器人行为控制研究,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
基于虚拟环境的视-听-触感多模态人机交互系统,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
集群胶囊机器人,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,2
细胞骨架与局部黏着斑间应力传递FRET探针的设计与制备,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
连续结晶器的温度控制系统集成,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
基于知识图谱的医疗智能助手,创新训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
乐享,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,3
面向模糊社群的事件调度系统,创业训练项目,大连理工大学,工学,工学,2019/5/31,10000,5
